,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
9594,17,40,10,1,2,2,0.0,1.0,2,72,8.0,11.0,3.0,4.0,1.0,6.0,12.0,9.0,1.0,3.0,0.0,0.0
9595,17,41,34,3,0,0,3.0,0.0,0,62,13.0,9.0,5.0,0.0,5.0,9.0,9.0,16.0,0.0,3.0,0.0,0.0
9596,17,0,35,3,0,0,0.0,0.0,1,20,24.0,8.0,11.0,2.0,6.0,5.0,9.0,13.0,1.0,2.0,0.0,0.0
9597,17,13,38,1,3,2,1.0,1.0,1,2,14.0,12.0,4.0,7.0,5.0,5.0,4.0,11.0,0.0,1.0,0.0,0.0
9598,17,6,15,2,2,1,0.0,0.0,1,62,20.0,13.0,5.0,6.0,11.0,3.0,8.0,9.0,2.0,2.0,0.0,0.0
9599,17,9,19,1,1,1,1.0,1.0,1,4,13.0,14.0,4.0,5.0,5.0,3.0,13.0,7.0,1.0,0.0,1.0,0.0
9600,17,17,24,0,0,1,0.0,0.0,1,79,6.0,10.0,1.0,3.0,3.0,2.0,12.0,7.0,0.0,0.0,0.0,0.0
9601,17,23,28,1,2,2,0.0,1.0,2,125,8.0,8.0,1.0,4.0,7.0,5.0,7.0,14.0,1.0,3.0,0.0,0.0
9602,17,25,26,2,3,2,2.0,0.0,0,73,20.0,5.0,6.0,4.0,8.0,4.0,17.0,9.0,6.0,3.0,0.0,0.0
9603,17,35,38,1,2,2,0.0,0.0,1,50,10.0,15.0,4.0,4.0,6.0,3.0,19.0,8.0,4.0,3.0,0.0,0.0
9604,17,39,10,1,2,2,0.0,0.0,1,102,14.0,7.0,5.0,4.0,11.0,1.0,18.0,12.0,2.0,2.0,0.0,0.0
9605,17,40,37,1,1,1,0.0,0.0,1,114,15.0,7.0,3.0,1.0,5.0,1.0,15.0,5.0,3.0,2.0,0.0,0.0
9606,17,0,34,3,2,0,2.0,1.0,0,2,13.0,15.0,7.0,8.0,8.0,6.0,11.0,7.0,2.0,1.0,1.0,1.0
9607,17,13,41,1,1,1,1.0,0.0,0,68,23.0,5.0,6.0,2.0,10.0,6.0,7.0,11.0,0.0,1.0,0.0,0.0
9608,17,10,23,2,1,0,2.0,0.0,0,73,8.0,15.0,3.0,6.0,4.0,8.0,9.0,10.0,2.0,1.0,0.0,0.0
9609,17,15,9,3,2,0,3.0,2.0,0,2,15.0,12.0,8.0,3.0,5.0,6.0,12.0,16.0,3.0,2.0,0.0,0.0
9610,17,19,39,1,0,0,0.0,0.0,1,20,9.0,4.0,1.0,2.0,9.0,6.0,9.0,8.0,2.0,2.0,0.0,0.0
9611,17,24,6,3,0,0,1.0,0.0,0,19,20.0,6.0,7.0,1.0,7.0,5.0,9.0,9.0,1.0,1.0,0.0,0.0
9612,17,34,13,2,3,2,1.0,0.0,0,75,10.0,17.0,7.0,5.0,4.0,7.0,13.0,14.0,5.0,3.0,0.0,0.0
9613,17,37,17,1,1,1,0.0,1.0,2,71,17.0,12.0,7.0,3.0,6.0,3.0,10.0,11.0,1.0,1.0,0.0,0.0
9614,17,38,25,1,3,2,1.0,2.0,2,62,8.0,17.0,3.0,6.0,5.0,7.0,11.0,12.0,3.0,4.0,0.0,0.0
9615,17,26,40,0,1,2,0.0,0.0,1,102,14.0,10.0,4.0,4.0,4.0,4.0,8.0,13.0,1.0,1.0,0.0,0.0
9616,17,28,0,2,1,0,1.0,1.0,1,4,8.0,15.0,4.0,3.0,2.0,5.0,11.0,9.0,1.0,0.0,0.0,0.0
9617,17,41,35,1,1,1,0.0,0.0,1,79,18.0,11.0,6.0,7.0,10.0,1.0,15.0,21.0,2.0,3.0,0.0,0.0
9618,17,9,38,1,1,1,0.0,0.0,1,68,8.0,16.0,5.0,6.0,3.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0
9619,17,6,26,0,2,2,0.0,1.0,2,50,13.0,13.0,2.0,4.0,8.0,5.0,9.0,8.0,3.0,1.0,0.0,0.0
9620,17,10,13,1,2,2,0.0,1.0,2,116,5.0,16.0,2.0,5.0,3.0,2.0,9.0,11.0,1.0,0.0,0.0,0.0
9621,17,23,34,0,0,1,0.0,0.0,1,114,11.0,6.0,3.0,2.0,11.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0
9622,17,39,15,0,0,1,0.0,0.0,1,19,14.0,6.0,4.0,1.0,4.0,3.0,17.0,13.0,3.0,5.0,0.0,0.0
9623,17,40,24,2,2,1,0.0,1.0,2,125,13.0,9.0,6.0,3.0,7.0,4.0,12.0,5.0,0.0,1.0,0.0,0.0
9624,17,0,41,4,1,0,0.0,0.0,1,71,20.0,11.0,8.0,4.0,8.0,6.0,11.0,9.0,3.0,2.0,0.0,0.0
9625,17,25,37,5,0,0,2.0,0.0,0,20,19.0,4.0,12.0,1.0,5.0,1.0,6.0,8.0,0.0,1.0,0.0,0.0
9626,17,35,10,1,1,1,1.0,0.0,0,75,8.0,16.0,3.0,7.0,3.0,8.0,15.0,5.0,2.0,1.0,0.0,0.0
9627,17,17,28,1,0,0,0.0,0.0,1,116,9.0,9.0,1.0,2.0,4.0,6.0,10.0,11.0,2.0,1.0,0.0,0.0
9628,17,10,9,0,0,1,0.0,0.0,1,114,10.0,9.0,4.0,1.0,3.0,4.0,5.0,17.0,0.0,2.0,0.0,0.0
9629,17,15,23,5,0,0,2.0,0.0,0,75,15.0,6.0,9.0,1.0,8.0,2.0,11.0,9.0,1.0,1.0,0.0,1.0
9630,17,19,17,0,2,2,0.0,1.0,2,72,9.0,7.0,2.0,5.0,4.0,3.0,9.0,8.0,1.0,0.0,0.0,0.0
9631,17,24,35,0,0,1,0.0,0.0,1,2,20.0,5.0,2.0,1.0,9.0,2.0,7.0,14.0,1.0,2.0,0.0,0.0
9632,17,28,40,0,1,2,0.0,1.0,2,25,17.0,9.0,2.0,2.0,5.0,1.0,8.0,13.0,1.0,3.0,0.0,0.0
9633,17,34,6,2,1,0,1.0,1.0,1,4,14.0,14.0,6.0,7.0,5.0,8.0,12.0,11.0,5.0,1.0,0.0,0.0
9634,17,37,13,0,1,2,0.0,1.0,2,62,10.0,11.0,3.0,3.0,1.0,2.0,13.0,9.0,1.0,1.0,0.0,0.0
9635,17,26,0,2,1,0,1.0,0.0,0,68,17.0,8.0,3.0,3.0,9.0,0.0,12.0,7.0,0.0,1.0,0.0,0.0
9636,17,41,25,1,4,2,1.0,2.0,2,94,4.0,19.0,1.0,7.0,0.0,7.0,5.0,11.0,0.0,1.0,0.0,0.0
9637,17,38,39,2,0,0,1.0,0.0,0,79,13.0,13.0,3.0,5.0,4.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0
9638,17,9,26,1,0,0,0.0,0.0,1,20,11.0,16.0,4.0,3.0,5.0,6.0,5.0,3.0,2.0,0.0,0.0,0.0
9639,17,6,37,1,0,0,1.0,0.0,0,68,13.0,12.0,5.0,3.0,11.0,6.0,10.0,10.0,1.0,4.0,0.0,0.0
9640,17,17,34,1,1,1,0.0,0.0,1,62,9.0,11.0,3.0,5.0,3.0,4.0,14.0,12.0,2.0,4.0,0.0,1.0
9641,17,23,41,0,2,2,0.0,1.0,2,19,13.0,13.0,2.0,3.0,8.0,3.0,8.0,9.0,1.0,2.0,0.0,0.0
9642,17,35,15,1,2,2,1.0,0.0,0,73,7.0,13.0,2.0,2.0,1.0,7.0,18.0,12.0,5.0,2.0,0.0,0.0
9643,17,39,28,2,1,0,2.0,0.0,0,114,11.0,9.0,8.0,1.0,2.0,5.0,9.0,11.0,2.0,1.0,0.0,0.0
9644,17,40,38,1,0,0,0.0,0.0,1,77,9.0,18.0,1.0,5.0,5.0,9.0,13.0,12.0,4.0,1.0,0.0,0.0
9645,17,0,10,5,0,0,2.0,0.0,0,2,16.0,6.0,8.0,2.0,4.0,5.0,6.0,7.0,0.0,1.0,0.0,0.0
9646,17,13,24,1,0,0,1.0,0.0,0,4,12.0,10.0,4.0,5.0,3.0,1.0,12.0,9.0,3.0,2.0,0.0,0.0
9647,17,25,19,0,0,1,0.0,0.0,1,75,15.0,5.0,2.0,3.0,10.0,1.0,9.0,4.0,0.0,3.0,0.0,0.0
9648,17,37,34,0,1,2,0.0,0.0,1,79,11.0,13.0,3.0,8.0,7.0,6.0,7.0,15.0,2.0,1.0,0.0,0.0
9649,17,13,19,1,1,1,0.0,0.0,1,71,22.0,3.0,5.0,2.0,9.0,0.0,7.0,10.0,0.0,1.0,0.0,0.0
9650,17,23,0,3,1,0,1.0,0.0,0,50,19.0,14.0,10.0,7.0,6.0,6.0,7.0,12.0,2.0,2.0,0.0,1.0
9651,17,25,9,3,1,0,2.0,1.0,0,102,19.0,6.0,7.0,3.0,4.0,3.0,5.0,7.0,0.0,1.0,0.0,0.0
9652,17,38,28,1,0,0,0.0,0.0,1,94,11.0,14.0,7.0,3.0,6.0,4.0,10.0,8.0,2.0,3.0,0.0,0.0
9653,17,41,26,0,0,1,0.0,0.0,1,62,9.0,16.0,2.0,6.0,1.0,6.0,12.0,12.0,1.0,1.0,0.0,0.0
9654,17,10,6,1,2,2,1.0,0.0,0,102,12.0,16.0,4.0,5.0,7.0,8.0,14.0,9.0,0.0,0.0,0.0,0.0
9655,17,15,40,2,0,0,0.0,0.0,1,62,11.0,7.0,5.0,1.0,4.0,2.0,10.0,11.0,2.0,3.0,0.0,0.0
9656,17,19,0,0,1,2,0.0,1.0,2,79,18.0,9.0,3.0,4.0,7.0,4.0,11.0,7.0,1.0,0.0,0.0,0.0
9657,17,24,9,4,0,0,2.0,0.0,0,68,22.0,2.0,11.0,1.0,7.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0
9658,17,26,39,1,0,0,1.0,0.0,0,71,7.0,7.0,1.0,3.0,6.0,5.0,6.0,11.0,4.0,0.0,0.0,0.0
9659,17,28,13,3,0,0,1.0,0.0,0,73,16.0,6.0,6.0,2.0,4.0,2.0,11.0,10.0,0.0,1.0,0.0,0.0
9660,17,34,25,0,1,2,0.0,0.0,1,2,8.0,13.0,3.0,2.0,1.0,12.0,8.0,10.0,3.0,1.0,0.0,0.0
9661,17,37,35,1,2,2,1.0,2.0,2,4,26.0,8.0,11.0,5.0,6.0,0.0,12.0,9.0,1.0,2.0,0.0,0.0
9662,17,38,23,5,4,0,1.0,2.0,2,20,14.0,16.0,6.0,9.0,4.0,4.0,9.0,13.0,1.0,2.0,0.0,0.0
9663,17,41,17,3,1,0,1.0,0.0,0,50,15.0,14.0,4.0,7.0,6.0,6.0,10.0,13.0,0.0,1.0,0.0,0.0
9664,18,26,23,2,1,0,1.0,0.0,0,2,8.0,13.0,6.0,4.0,2.0,5.0,11.0,8.0,2.0,1.0,0.0,0.0
9665,18,6,11,2,0,0,1.0,0.0,0,68,12.0,10.0,4.0,1.0,7.0,4.0,11.0,9.0,1.0,1.0,0.0,0.0
9666,18,18,15,0,2,2,0.0,1.0,2,75,15.0,10.0,6.0,9.0,5.0,5.0,9.0,11.0,1.0,2.0,0.0,0.0
9667,18,19,13,0,3,2,0.0,2.0,2,19,6.0,13.0,1.0,4.0,2.0,5.0,9.0,8.0,2.0,1.0,0.0,0.0
9668,18,28,38,1,2,2,1.0,2.0,2,73,15.0,15.0,2.0,5.0,3.0,5.0,11.0,12.0,2.0,2.0,0.0,0.0
9669,18,39,9,2,0,0,1.0,0.0,0,62,19.0,6.0,5.0,0.0,8.0,2.0,10.0,16.0,2.0,2.0,0.0,0.0
9670,18,43,17,2,2,1,1.0,1.0,1,20,11.0,6.0,4.0,5.0,3.0,6.0,8.0,7.0,0.0,1.0,0.0,1.0
9671,18,0,25,0,2,2,0.0,1.0,2,79,9.0,17.0,3.0,8.0,2.0,9.0,11.0,14.0,2.0,2.0,0.0,0.0
9672,18,24,41,4,0,0,2.0,0.0,0,4,18.0,5.0,8.0,2.0,5.0,4.0,14.0,9.0,1.0,2.0,0.0,0.0
9673,18,34,10,0,0,1,0.0,0.0,1,50,18.0,16.0,3.0,6.0,8.0,5.0,10.0,9.0,0.0,1.0,0.0,0.0
9674,18,11,28,0,0,1,0.0,0.0,1,20,12.0,12.0,1.0,6.0,5.0,5.0,14.0,16.0,2.0,2.0,0.0,1.0
9675,18,13,0,3,2,0,2.0,2.0,1,73,24.0,15.0,11.0,6.0,5.0,1.0,12.0,9.0,0.0,2.0,0.0,0.0
9676,18,17,34,2,1,0,2.0,0.0,0,71,13.0,15.0,7.0,4.0,2.0,5.0,8.0,20.0,0.0,5.0,0.0,0.0
9677,18,23,43,2,0,0,2.0,0.0,0,75,6.0,11.0,2.0,3.0,1.0,9.0,10.0,8.0,2.0,1.0,1.0,0.0
9678,18,38,18,3,1,0,1.0,0.0,0,4,25.0,10.0,11.0,3.0,5.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0
9679,18,41,6,1,2,2,1.0,0.0,0,125,11.0,12.0,5.0,5.0,6.0,4.0,14.0,10.0,6.0,2.0,0.0,0.0
9680,18,9,26,3,2,0,3.0,1.0,0,68,6.0,9.0,3.0,3.0,3.0,5.0,16.0,13.0,1.0,1.0,0.0,0.0
9681,18,10,39,1,3,2,1.0,1.0,1,102,8.0,9.0,3.0,6.0,5.0,2.0,8.0,19.0,1.0,2.0,0.0,0.0
9682,18,25,19,6,1,0,3.0,1.0,0,2,32.0,5.0,14.0,1.0,10.0,3.0,9.0,4.0,0.0,2.0,0.0,0.0
9683,18,15,24,0,2,2,0.0,1.0,2,79,8.0,16.0,2.0,6.0,6.0,7.0,6.0,13.0,1.0,1.0,1.0,0.0
9684,18,0,41,3,1,0,1.0,1.0,1,50,17.0,13.0,10.0,5.0,10.0,2.0,16.0,13.0,1.0,3.0,0.0,0.0
